Provincias,Total,Mortales,mortalidad,Muertosxacc,Total,Muertos,Heridos,Total,Mortales,Total,Muertos,Heridos,Total,Mortales,Total,Muertos,Heridos
ÁLAVA,444,21,4.73,1.29,664,27,637,413,21,622,26,596,31,0,42,1,41
ALBACETE,923,45,4.88,1.36,1.478,61,1.417,545,42,991,55,936,378,3,487,6,481
ALICANTE,2.669,107,4.01,1.28,4.180,137,4.043,1.924,97,3.232,123,3.109,745,10,948,14,934
ALMERÍA,1.099,82,7.46,1.33,1.913,109,1.804,888,69,1.617,91,1.526,211,13,296,18,278
ÁVILA,487,24,4.93,1.38,787,33,754,380,23,645,32,613,107,1,142,1,141
BADAJOZ,950,54,5.68,1.24,1.430,67,1.363,550,38,899,47,852,400,16,531,20,511
BALEARES,2.082,88,4.23,1.33,3.034,117,2.917,1.432,65,2.272,89,2.183,650,23,762,28,734
BARCELONA,18.207,212,1.16,1.25,24.376,264,24.112,3.907,122,5.670,152,5.518,14.300,90,18.706,112,18.594
BURGOS,848,50,5.90,1.36,1.446,68,1.378,690,41,1.232,55,1.177,158,9,214,13,201
CÁCERES,672,43,6.40,1.37,1.065,59,1.006,598,41,980,55,925,74,2,85,4,81
CÁDIZ,3.688,76,2.06,1.22,5.687,93,5.594,1.284,59,2.297,69,2.228,2.404,17,3.390,24,3.366
CASTELLÓN,1.149,53,4.61,1.38,1.731,73,1.658,655,43,1.096,56,1.040,494,10,635,17,618
CIUDAD REAL,864,50,5.79,1.44,1.375,72,1.303,579,45,976,62,914,285,5,399,10,389
CÓRDOBA,1.063,45,4.23,1.42,1.699,64,1.635,766,43,1.282,60,1.222,297,2,417,4,413
A CORUÑA,1.796,102,5.68,1.27,2.735,130,2.605,1.255,89,2.010,111,1.899,541,13,725,19,706
CUENCA,600,50,8.33,1.38,1.091,69,1.022,543,48,1.014,65,949,57,2,77,4,73
GIRONA,2.656,79,2.97,1.23,3.621,97,3.524,1.572,69,2.302,82,2.220,1.084,10,1.319,15,1.304
GRANADA,1.660,81,4.88,1.27,2.722,103,2.619,1.111,80,2.050,100,1.950,549,1,672,3,669
GUADALAJARA,439,24,5.47,1.29,753,31,722,301,21,571,25,546,138,3,182,6,176
GUIPÚZCOA,1.324,33,2.49,1.27,1.858,42,1.816,1.200,32,1.710,39,1.671,124,1,148,3,145
HUELVA,984,41,4.17,1.61,1.653,66,1.587,683,39,1.210,62,1.148,301,2,443,4,439
HUESCA,775,44,5.68,1.43,1.248,63,1.185,627,42,1.061,58,1.003,148,2,187,5,182
JAÉN,1.041,41,3.94,1.37,1.680,56,1.624,709,38,1.255,51,1.204,332,3,425,5,420
LEÓN,1.095,64,5.84,1.25,1.752,80,1.672,752,50,1.285,61,1.224,343,14,467,19,448
LLEIDA,1.469,61,4.15,1.39,2.185,85,2.100,1.064,48,1.650,67,1.583,405,13,535,18,517
LA RIOJA,728,35,4.81,1.17,1.056,41,1.015,325,30,550,34,516,403,5,506,7,499
LUGO,707,61,8.63,1.39,1.167,85,1.082,604,52,1.019,68,951,103,9,148,17,131
MADRID,15.390,210,1.36,1.28,21.208,269,20.939,4.122,152,6.326,195,6.131,11.268,58,14.882,74,14.808
MÁLAGA,2.340,100,4.27,1.23,3.315,123,3.192,1.145,84,1.808,101,1.707,1.195,16,1.507,22,1.485
MURCIA,1.838,116,6.31,1.21,3.270,140,3.130,1.561,91,2.875,107,2.768,277,25,395,33,362
NAVARRA,286,45,15.73,1.11,471,50,421,258,40,432,45,387,28,5,39,5,34
OURENSE,451,40,8.87,1.23,675,49,626,316,33,506,39,467,135,7,169,10,159
ASTURIAS,2.593,67,2.58,1.39,4.026,93,3.933,1.621,52,2.686,72,2.614,972,15,1.340,21,1.319
PALENCIA,520,17,3.27,1.53,813,26,787,321,14,550,21,529,199,3,263,5,258
PONTEVEDRA,1.732,75,4.33,1.28,2.745,96,2.649,1.480,66,2.380,83,2.297,252,9,365,13,352
SALAMANCA,1.017,38,3.74,1.37,1.582,52,1.530,470,32,840,43,797,547,6,742,9,733
CANTABRIA,939,38,4.05,1.26,1.503,48,1.455,860,36,1.393,45,1.348,79,2,110,3,107
SEGOVIA,443,20,4.51,1.50,734,30,704,359,16,622,21,601,84,4,112,9,103
SEVILLA,3.631,93,2.56,1.32,5.875,123,5.752,1.526,74,2.662,98,2.564,2.105,19,3.213,25,3.188
SORIA,272,18,6.62,1.33,477,24,453,242,17,433,22,411,30,1,44,2,42
TARRAGONA,2.522,97,3.85,1.27,3.501,123,3.378,1.416,80,2.115,99,2.016,1.106,17,1.386,24,1.362
TERUEL,257,21,8.17,1.29,387,27,360,227,17,353,23,330,30,4,34,4,30
TOLEDO,1.267,70,5.52,1.56,2.180,109,2.071,967,65,1.750,97,1.653,300,5,430,12,418
VALENCIA,6.697,132,1.97,1.27,9.506,168,9.338,2.379,119,3.829,150,3.679,4.318,13,5.677,18,5.659
VALLADOLID,790,40,5.06,1.58,1.346,63,1.283,583,36,1.004,55,949,207,4,342,8,334
VIZCAYA,1.644,28,1.70,1.46,2.453,41,2.412,1.402,26,2.135,37,2.098,242,2,318,4,314
ZAMORA,303,26,8.58,1.65,518,43,475,231,24,409,38,371,72,2,109,5,104
ZARAGOZA,1.957,62,3.17,1.47,2.943,91,2.852,887,55,1.534,80,1.454,1.070,7,1.409,11,1.398
CEUTA,25,0,0.00,0.00,29,1,28,0,0,0,0,0,25,0,29,1,28
MELILLA,560,2,0.36,2.00,737,4,733,0,0,0,0,0,560,2,737,4,733
LAS PALMAS,1.904,98,5.15,1.21,2.874,119,2.755,1.491,85,2.296,101,2.195,413,13,578,18,560
