Provincias,Total,Mortales,mortalidad,Muertosxacc,Total,Muertos,Heridos,Total,Mortales,Total,Muertos,Heridos,Total,Mortales,Total,Muertos,Heridos
ÁLAVA,456,20,4.39,1.20,728,24,704,431,20,696,24,672,25,0,32,0,32
ALBACETE,936,38,4.06,1.39,1.420,53,1.367,486,34,860,49,811,450,4,560,4,556
ALICANTE,2.442,107,4.38,1.20,3.809,128,3.681,1.854,99,3.075,118,2.957,588,8,734,10,724
ALMERÍA,1.124,54,4.80,1.41,1.910,76,1.834,874,41,1.535,59,1.476,250,13,375,17,358
ÁVILA,625,35,5.60,1.46,973,51,922,467,33,770,49,721,158,2,203,2,201
BADAJOZ,1.070,78,7.29,1.23,1.695,96,1.599,664,62,1.122,77,1.045,406,16,573,19,554
BALEARES,2.236,99,4.43,1.21,3.149,120,3.029,1.309,73,2.060,90,1.970,927,26,1.089,30,1.059
BARCELONA,19.232,176,0.92,1.30,25.545,229,25.316,4.393,96,6.403,117,6.286,14.839,80,19.142,112,19.030
BURGOS,738,28,3.79,1.54,1.214,43,1.171,677,27,1.140,42,1.098,61,1,74,1,73
CÁCERES,724,23,3.18,1.35,1.110,31,1.079,602,20,951,28,923,122,3,159,3,156
CÁDIZ,3.344,76,2.27,1.25,5.208,95,5.113,1.240,58,2.209,72,2.137,2.104,18,2.999,23,2.976
CASTELLÓN,1.202,60,4.99,1.17,1.744,70,1.674,669,48,1.069,54,1.015,533,12,675,16,659
CIUDAD REAL,835,46,5.51,1.26,1.341,58,1.283,595,42,1.030,54,976,240,4,311,4,307
CÓRDOBA,1.062,49,4.61,1.22,1.655,60,1.595,818,45,1.310,56,1.254,244,4,345,4,341
A CORUÑA,1.512,105,6.94,1.24,2.343,130,2.213,1.123,89,1.808,110,1.698,389,16,535,20,515
CUENCA,603,45,7.46,1.31,1.083,59,1.024,534,41,977,54,923,69,4,106,5,101
GIRONA,2.744,77,2.81,1.30,3.790,100,3.690,1.637,63,2.436,84,2.352,1.107,14,1.354,16,1.338
