Provincias,Total,Mortales,mortalidad,Muertosxacc,Total,Muertos,Heridos,Total,Mortales,Total,Muertos,Heridos,Total,Mortales,Total,Muertos,Heridos
GRANADA,1.919,58,3.02,1.33,2.935,77,2.858,1.123,55,1.998,72,1.926,796,3,937,5,932
GUADALAJARA,397,18,4.53,1.33,623,24,599,263,16,464,20,444,134,2,159,4,155
GUIPÚZCOA,1.344,29,2.16,1.21,1.838,35,1.803,1.215,24,1.690,29,1.661,129,5,148,6,142
HUELVA,888,44,4.95,1.14,1.382,50,1.332,627,39,1.017,43,974,261,5,365,7,358
HUESCA,652,35,5.37,1.31,1.055,46,1.009,539,33,904,38,866,113,2,151,8,143
JAÉN,1.017,54,5.31,1.43,1.664,77,1.587,725,42,1.276,60,1.216,292,12,388,17,371
LEÓN,1.298,62,4.78,1.32,2.031,82,1.949,764,50,1.262,68,1.194,534,12,769,14,755
LLEIDA,1.480,69,4.66,1.29,2.194,89,2.105,1.166,59,1.812,77,1.735,314,10,382,12,370
LA RIOJA,748,42,5.61,1.21,1.088,51,1.037,345,32,554,40,514,403,10,534,11,523
LUGO,626,51,8.15,1.29,1.010,66,944,564,47,939,62,877,62,4,71,4,67
MADRID,15.461,197,1.27,1.43,21.154,281,20.873,4.091,133,6.130,170,5.960,11.370,64,15.024,111,14.913
MÁLAGA,3.324,79,2.38,1.24,4.583,98,4.485,1.119,65,1.797,81,1.716,2.205,14,2.786,17,2.769
MURCIA,1.491,105,7.04,1.27,2.593,133,2.460,1.335,81,2.357,109,2.248,156,24,236,24,212
NAVARRA,258,36,13.95,1.17,385,42,343,229,32,350,38,312,29,4,35,4,31
OURENSE,356,33,9.27,1.21,613,40,573,266,29,485,35,450,90,4,128,5,123
ASTURIAS,2.441,63,2.58,1.19,3.654,75,3.579,1.451,46,2.343,56,2.287,990,17,1.311,19,1.292
PALENCIA,446,22,4.93,1.23,689,27,662,300,22,489,27,462,146,0,200,0,200
PONTEVEDRA,1.911,75,3.92,1.27,3.017,95,2.922,1.666,67,2.657,83,2.574,245,8,360,12,348
SALAMANCA,1.016,33,3.25,1.21,1.535,40,1.495,470,26,799,30,769,546,7,736,10,726
CANTABRIA,864,31,3.59,1.26,1.366,39,1.327,816,28,1.307,36,1.271,48,3,59,3,56
SEGOVIA,384,20,5.21,1.45,656,29,627,322,17,567,24,543,62,3,89,5,84
SEVILLA,2.822,86,3.05,1.36,4.383,117,4.266,1.624,78,2.702,108,2.594,1.198,8,1.681,9,1.672
SORIA,271,20,7.38,1.40,441,28,413,243,20,402,28,374,28,0,39,0,39
TARRAGONA,2.600,85,3.27,1.24,3.557,105,3.452,1.592,70,2.294,82,2.212,1.008,15,1.263,23,1.240
TERUEL,281,25,8.90,1.20,454,30,424,263,25,433,30,403,18,0,21,0,21
TOLEDO,1.251,74,5.92,1.27,2.011,94,1.917,1.045,68,1.719,88,1.631,206,6,292,6,286
VALENCIA,6.664,123,1.85,1.52,9.513,187,9.326,2.415,91,3.902,121,3.781,4.249,32,5.611,66,5.545
VALLADOLID,745,37,4.97,1.24,1.252,46,1.206,593,34,1.018,41,977,152,3,234,5,229
VIZCAYA,1.580,24,1.52,1.29,2.370,31,2.339,1.326,18,2.049,25,2.024,254,6,321,6,315
ZAMORA,314,31,9.87,1.26,513,39,474,224,28,391,34,357,90,3,122,5,117
ZARAGOZA,2.297,78,3.40,1.32,3.335,103,3.232,1.073,64,1.726,85,1.641,1.224,14,1.609,18,1.591
CEUTA,20,0,0.00,0.00,29,0,29,0,0,0,0,0,20,0,29,0,29
MELILLA,597,1,0.17,1.00,855,1,854,0,0,0,0,0,597,1,855,1,854
LAS PALMAS,1.860,101,5.43,1.22,2.849,123,2.726,1.653,85,2.586,105,2.481,207,16,263,18,245
