Provincias,Total,Mortales,mortalidad,Muertosxacc,Total,Muertos,Heridos,Total,Mortales,Total,Muertos,Heridos,Total,Mortales,Total,Muertos,Heridos
ÁLAVA,836,21,2.51,1.33,1.192,28,1.164,352,19,542,24,518,484,2,650,4,646
ALBACETE,762,31,4.07,1.26,1.116,39,1.077,360,29,614,36,578,402,2,502,3,499
ALICANTE,1.989,84,4.22,1.27,3.016,107,2.909,1.342,73,2.195,94,2.101,647,11,821,13,808
ALMERÍA,942,41,4.35,1.37,1.498,56,1.442,709,34,1.206,46,1.160,233,7,292,10,282
ÁVILA,550,14,2.55,1.36,821,19,802,389,12,602,16,586,161,2,219,3,216
BADAJOZ,872,54,6.19,1.26,1.329,68,1.261,523,46,854,58,796,349,8,475,10,465
BALEARES,2.116,63,2.98,1.30,3.005,82,2.923,1.185,50,1.894,66,1.828,931,13,1.111,16,1.095
BARCELONA,18.420,165,0.90,1.32,24.435,218,24.217,4.217,98,6.192,130,6.062,14.203,67,18.243,88,18.155
BURGOS,786,44,5.60,1.30,1.302,57,1.245,652,37,1.102,49,1.053,134,7,200,8,192
CÁCERES,681,30,4.41,1.30,1.040,39,1.001,553,27,885,34,851,128,3,155,5,150
CÁDIZ,2.935,42,1.43,1.40,4.662,59,4.603,1.053,35,1.908,48,1.860,1.882,7,2.754,11,2.743
CASTELLÓN,973,43,4.42,1.47,1.519,63,1.456,578,37,1.018,56,962,395,6,501,7,494
CIUDAD REAL,653,49,7.50,1.24,1.051,61,990,493,46,857,57,800,160,3,194,4,190
CÓRDOBA,804,31,3.86,1.29,1.281,40,1.241,667,28,1.093,36,1.057,137,3,188,4,184
A CORUÑA,1.025,75,7.32,1.20,1.534,90,1.444,764,64,1.194,76,1.118,261,11,340,14,326
CUENCA,516,25,4.84,1.32,865,33,832,440,21,761,28,733,76,4,104,5,99
GIRONA,2.540,60,2.36,1.20,3.595,72,3.523,1.466,46,2.232,55,2.177,1.074,14,1.363,17,1.346
GRANADA,1.557,54,3.47,1.43,2.401,77,2.324,948,50,1.685,71,1.614,609,4,716,6,710
GUADALAJARA,361,22,6.09,1.18,572,26,546,271,20,448,23,425,90,2,124,3,121
GUIPÚZCOA,2.181,33,1.51,1.27,2.882,42,2.840,1.113,27,1.572,33,1.539,1.068,6,1.310,9,1.301
HUELVA,885,32,3.62,1.34,1.416,43,1.373,666,27,1.102,37,1.065,219,5,314,6,308
HUESCA,583,37,6.35,1.38,907,51,856,488,32,789,45,744,95,5,118,6,112
JAÉN,931,50,5.37,1.20,1.479,60,1.419,640,44,1.107,52,1.055,291,6,372,8,364
LEÓN,1.081,56,5.18,1.29,1.702,72,1.630,666,47,1.101,60,1.041,415,9,601,12,589
LLEIDA,1.210,63,5.21,1.22,1.764,77,1.687,1.000,52,1.508,65,1.443,210,11,256,12,244
LA RIOJA,699,25,3.58,1.20,1.056,30,1.026,362,24,598,28,570,337,1,458,2,456
LUGO,474,47,9.92,1.19,702,56,646,378,45,577,54,523,96,2,125,2,123
MADRID,13.995,148,1.06,1.36,19.114,201,18.913,3.734,98,5.593,116,5.477,10.261,50,13.521,85,13.436
MÁLAGA,2.936,63,2.15,1.48,4.081,93,3.988,1.027,57,1.692,81,1.611,1.909,6,2.389,12,2.377
MURCIA,984,76,7.72,1.22,1.708,93,1.615,895,61,1.584,76,1.508,89,15,124,17,107
NAVARRA,341,39,11.44,1.23,522,48,474,299,29,466,37,429,42,10,56,11,45
OURENSE,341,33,9.68,1.24,572,41,531,179,28,358,35,323,162,5,214,6,208
ASTURIAS,2.178,47,2.16,1.26,3.321,59,3.262,1.300,41,2.150,51,2.099,878,6,1.171,8,1.163
PALENCIA,414,18,4.35,1.44,615,26,589,242,18,388,25,363,172,0,227,1,226
PONTEVEDRA,1.945,64,3.29,1.23,2.952,79,2.873,1.685,43,2.579,53,2.526,260,21,373,26,347
SALAMANCA,832,24,2.88,1.25,1.240,30,1.210,387,19,597,22,575,445,5,643,8,635
CANTABRIA,867,21,2.42,1.19,1.408,25,1.383,820,19,1.343,23,1.320,47,2,65,2,63
SEGOVIA,337,14,4.15,1.29,555,18,537,280,13,474,16,458,57,1,81,2,79
SEVILLA,2.751,72,2.62,1.31,4.103,94,4.009,1.503,51,2.480,69,2.411,1.248,21,1.623,25,1.598
SORIA,238,19,7.98,1.16,376,22,354,204,16,330,19,311,34,3,46,3,43
TARRAGONA,2.420,65,2.69,1.28,3.256,83,3.173,1.444,55,2.093,69,2.024,976,10,1.163,14,1.149
TERUEL,225,17,7.56,1.06,340,18,322,203,13,311,14,297,22,4,29,4,25
TOLEDO,978,57,5.83,1.32,1.751,75,1.676,818,51,1.525,68,1.457,160,6,226,7,219
VALENCIA,6.047,108,1.79,1.42,8.355,153,8.202,2.033,82,3.164,101,3.063,4.014,26,5.191,52,5.139
VALLADOLID,681,38,5.58,1.34,1.078,51,1.027,507,31,842,40,802,174,7,236,11,225
VIZCAYA,2.119,24,1.13,1.33,3.101,32,3.069,1.218,17,1.884,22,1.862,901,7,1.217,10,1.207
ZAMORA,250,18,7.20,1.28,399,23,376,198,13,326,17,309,52,5,73,6,67
ZARAGOZA,2.129,61,2.87,1.38,3.002,84,2.918,942,52,1.497,69,1.428,1.187,9,1.505,15,1.490
CEUTA,3,0,0.00,0.00,3,0,3,0,0,0,0,0,3,0,3,0,3
MELILLA,626,1,0.16,2.00,932,2,930,0,0,0,0,0,626,1,932,2,930
LAS PALMAS,2.162,67,3.10,1.27,3.121,85,3.036,1.638,51,2.453,66,2.387,524,16,668,19,649
